castscope_Layout	castscope_GT	調査名	CastScopeタレント好感度調査	調査ID	99990001	調査方法	インターネットリサーチ	商品種別	クローズドモニタ	実施期間		有効サンプル数	6000
質問番号	質問タイプ	アイテム名	ラベル	回答タイプ	カテゴリ数	カラム	選択肢番号	質問文／選択肢	設問タイトル／選択肢グループキャプション				
MID	MID	MID	MID	MID		1		MID					
START	D	START	START	D		2		開始日時					
END	D	END	END	D		3		終了日時					
TIME	D	TIME	TIME	D		4		回答時間					
F1	S	F1	F1	SA	2	5		あなたの性別をお答えください。					
							1	男性					
							2	女性					
F2	NUM	F2						あなたの現在のお年齢を半角数字でご記入ください（20～69歳）。					
			F2t1	NUM		6	1						
F3	S	F3	F3	SA	5	7		あなたの年代をお答えください。					
							1	20代					
							2	30代					
							3	40代					
							4	50代					
							5	60代					
PAT	NUM	PAT						提示パターン番号（1～60、システム自動割付）。					
			PATt1	NUM		8	1						
T1	NUM	T1						提示タレントID（スロット1）。					
			T1t1	NUM		9	1						
T2	NUM	T2						提示タレントID（スロット2）。					
			T2t1	NUM		10	1						
T3	NUM	T3						提示タレントID（スロット3）。					
			T3t1	NUM		11	1						
T4	NUM	T4						提示タレントID（スロット4）。					
			T4t1	NUM		12	1						
T5	NUM	T5						提示タレントID（スロット5）。					
			T5t1	NUM		13	1						
Q1	M	Q1		MA	5			提示された5名のタレントの中でお名前をご存じの方をすべてお選びください。					
			Q1c1			14	1	スロット1のタレント					
			Q1c2			15	2	スロット2のタレント					
			Q1c3			16	3	スロット3のタレント					
			Q1c4			17	4	スロット4のタレント					
			Q1c5			18	5	スロット5のタレント					
Q2	MTS							各タレントへの好感度をお聞きします。（ご存じの方のみ回答）					
		Q2S1	Q2s1	SA	5	19		スロット1のタレント					
							1	全く好感が持てない					
							2	好感が持てない					
							3	どちらでもない					
							4	好感が持てる					
							5	非常に好感が持てる					
		Q2S2	Q2s2	SA	5	20		スロット2のタレント					
							1	全く好感が持てない					
							2	好感が持てない					
							3	どちらでもない					
							4	好感が持てる					
							5	非常に好感が持てる					
		Q2S3	Q2s3	SA	5	21		スロット3のタレント					
							1	全く好感が持てない					
							2	好感が持てない					
							3	どちらでもない					
							4	好感が持てる					
							5	非常に好感が持てる					
		Q2S4	Q2s4	SA	5	22		スロット4のタレント					
							1	全く好感が持てない					
							2	好感が持てない					
							3	どちらでもない					
							4	好感が持てる					
							5	非常に好感が持てる					
		Q2S5	Q2s5	SA	5	23		スロット5のタレント					
							1	全く好感が持てない					
							2	好感が持てない					
							3	どちらでもない					
							4	好感が持てる					
							5	非常に好感が持てる					
Q3	MTS							各タレントが出演する番組をどの程度見たいですか？（好感度4または5の方のみ）					
		Q3S1	Q3s1	SA	5	24		スロット1のタレント					
							1	全く見たくない					
							2	あまり見たくない					
							3	どちらでもない					
							4	やや見たい					
							5	ぜひ見たい					
		Q3S2	Q3s2	SA	5	25		スロット2のタレント					
							1	全く見たくない					
							2	あまり見たくない					
							3	どちらでもない					
							4	やや見たい					
							5	ぜひ見たい					
		Q3S3	Q3s3	SA	5	26		スロット3のタレント					
							1	全く見たくない					
							2	あまり見たくない					
							3	どちらでもない					
							4	やや見たい					
							5	ぜひ見たい					
		Q3S4	Q3s4	SA	5	27		スロット4のタレント					
							1	全く見たくない					
							2	あまり見たくない					
							3	どちらでもない					
							4	やや見たい					
							5	ぜひ見たい					
		Q3S5	Q3s5	SA	5	28		スロット5のタレント					
							1	全く見たくない					
							2	あまり見たくない					
							3	どちらでもない					
							4	やや見たい					
							5	ぜひ見たい					
Q4	MTX							各タレントに合うと思う出演ジャンルをすべてお選びください。（好感度4または5の方のみ）					
		Q4S1		MA	5			ドラマ・ドキュメンタリー					
			Q4s1c1			29	1	スロット1					
			Q4s1c2			30	2	スロット2					
			Q4s1c3			31	3	スロット3					
			Q4s1c4			32	4	スロット4					
			Q4s1c5			33	5	スロット5					
		Q4S2		MA	5			バラエティ・情報					
			Q4s2c1			34	1	スロット1					
			Q4s2c2			35	2	スロット2					
			Q4s2c3			36	3	スロット3					
			Q4s2c4			37	4	スロット4					
			Q4s2c5			38	5	スロット5					
		Q4S3		MA	5			映画					
			Q4s3c1			39	1	スロット1					
			Q4s3c2			40	2	スロット2					
			Q4s3c3			41	3	スロット3					
			Q4s3c4			42	4	スロット4					
			Q4s3c5			43	5	スロット5					
		Q4S4		MA	5			配信・動画					
			Q4s4c1			44	1	スロット1					
			Q4s4c2			45	2	スロット2					
			Q4s4c3			46	3	スロット3					
			Q4s4c4			47	4	スロット4					
			Q4s4c5			48	5	スロット5					
		Q4S5		MA	5			CM・広告					
			Q4s5c1			49	1	スロット1					
			Q4s5c2			50	2	スロット2					
			Q4s5c3			51	3	スロット3					
			Q4s5c4			52	4	スロット4					
			Q4s5c5			53	5	スロット5					
STA	D	STA	STA	D		54		STA					
性別	S	性別	性別	SA	3	55		性別					
							1	男性					
							2	女性					
							0	無回答					
年齢	NUM	年齢						年齢					
			年齢	NUM		56	1	年齢					
