MID	START	END	TIME	F1	F2t1	F3	PATt1	T1t1	T2t1	T3t1	T4t1	T5t1	Q1c1	Q1c2	Q1c3	Q1c4	Q1c5	Q2s1	Q2s2	Q2s3	Q2s4	Q2s5	Q3s1	Q3s2	Q3s3	Q3s4	Q3s5	Q4s1c1	Q4s1c2	Q4s1c3	Q4s1c4	Q4s1c5	Q4s2c1	Q4s2c2	Q4s2c3	Q4s2c4	Q4s2c5	Q4s3c1	Q4s3c2	Q4s3c3	Q4s3c4	Q4s3c5	Q4s4c1	Q4s4c2	Q4s4c3	Q4s4c4	Q4s4c5	Q4s5c1	Q4s5c2	Q4s5c3	Q4s5c4	Q4s5c5	STA	ê´ï 	îNóÓ
1	2025/11/05-14:26:54	2025/11/05-14:40:23	0:13:29	1	24	1	1	107	240	38	90	33	0	1	1	1	1	0	3	3	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	1	24
2	2025/11/01-18:53:51	2025/11/01-19:01:51	0:8:0	1	25	1	1	107	240	38	90	33	1	0	1	1	1	4	0	5	2	3	5	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	COMP	1	25
3	2025/11/04-10:40:29	2025/11/04-10:49:00	0:8:31	1	23	1	1	107	240	38	90	33	1	1	1	1	1	2	3	3	5	4	0	0	0	5	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	COMP	1	23
4	2025/11/04-10:36:19	2025/11/04-10:48:39	0:12:20	1	23	1	1	107	240	38	90	33	1	0	1	1	0	2	0	5	4	0	0	0	5	4	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	COMP	1	23
5	2025/11/01-15:05:30	2025/11/01-15:14:45	0:9:15	1	23	1	1	107	240	38	90	33	1	0	0	1	1	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	23
6	2025/11/06-16:23:21	2025/11/06-16:34:17	0:10:56	1	21	1	1	107	240	38	90	33	0	0	0	1	1	0	0	0	4	4	0	0	0	4	3	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	COMP	1	21
7	2025/11/06-22:45:33	2025/11/06-22:57:24	0:11:51	1	24	1	1	107	240	38	90	33	1	0	0	1	1	3	0	0	2	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	1	24
8	2025/11/01-13:01:10	2025/11/01-13:07:08	0:5:58	1	27	1	1	107	240	38	90	33	0	1	1	0	1	0	2	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	1	27
9	2025/11/06-06:27:23	2025/11/06-06:40:34	0:13:11	1	28	1	1	107	240	38	90	33	0	0	1	1	1	0	0	3	5	3	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	1	28
10	2025/11/05-14:32:18	2025/11/05-14:41:20	0:9:2	1	29	1	1	107	240	38	90	33	1	1	1	1	1	4	4	2	5	4	2	4	0	5	3	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	COMP	1	29
11	2025/11/03-19:12:13	2025/11/03-19:20:22	0:8:9	1	33	2	1	107	240	38	90	33	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	33
12	2025/11/02-02:40:26	2025/11/02-02:52:13	0:11:47	1	32	2	1	107	240	38	90	33	1	1	1	1	1	3	1	5	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	1	32
13	2025/11/06-02:15:25	2025/11/06-02:28:18	0:12:53	1	38	2	1	107	240	38	90	33	1	1	1	0	1	4	1	5	0	4	4	0	4	0	5	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	COMP	1	38
14	2025/11/05-19:59:19	2025/11/05-20:12:38	0:13:19	1	38	2	1	107	240	38	90	33	0	0	1	1	1	0	0	4	2	5	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	COMP	1	38
15	2025/11/03-08:40:27	2025/11/03-08:48:03	0:7:36	1	30	2	1	107	240	38	90	33	1	1	0	1	0	2	4	0	1	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	COMP	1	30
16	2025/11/02-21:00:47	2025/11/02-21:08:11	0:7:24	1	34	2	1	107	240	38	90	33	0	1	1	1	1	0	3	5	3	4	0	0	5	0	5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	COMP	1	34
17	2025/11/06-09:57:38	2025/11/06-10:12:20	0:14:42	1	30	2	1	107	240	38	90	33	1	0	1	1	0	4	0	4	2	0	5	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	COMP	1	30
18	2025/11/04-12:59:05	2025/11/04-13:07:41	0:8:36	1	37	2	1	107	240	38	90	33	1	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	37
19	2025/11/02-20:45:10	2025/11/02-20:50:38	0:5:28	1	32	2	1	107	240	38	90	33	1	1	1	1	1	3	4	3	5	3	0	5	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	COMP	1	32
