MID	START	END	TIME	F1	F2	F3	PAT	T1	T2	T3	T4	T5	Q1c1	Q1c2	Q1c3	Q1c4	Q1c5	Q2s1	Q2s2	Q2s3	Q2s4	Q2s5	Q3s1	Q3s2	Q3s3	Q3s4	Q3s5	Q4s1c1	Q4s1c2	Q4s1c3	Q4s1c4	Q4s1c5	Q4s2c1	Q4s2c2	Q4s2c3	Q4s2c4	Q4s2c5	Q4s3c1	Q4s3c2	Q4s3c3	Q4s3c4	Q4s3c5	Q4s4c1	Q4s4c2	Q4s4c3	Q4s4c4	Q4s4c5	Q4s5c1	Q4s5c2	Q4s5c3	Q4s5c4	Q4s5c5
1	2025/11/05 14:26:54	2025/11/05 14:40:23	809	1	24	1	1	107	240	38	90	33	0	1	1	1	1	0	3	3	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	2025/11/01 18:53:51	2025/11/01 19:01:51	480	1	25	1	1	107	240	38	90	33	1	0	1	1	1	4	0	5	2	3	5	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
3	2025/11/04 10:40:29	2025/11/04 10:49:00	511	1	23	1	1	107	240	38	90	33	1	1	1	1	1	2	3	3	5	4	0	0	0	5	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0
4	2025/11/04 10:36:19	2025/11/04 10:48:39	740	1	23	1	1	107	240	38	90	33	1	0	1	1	0	2	0	5	4	0	0	0	5	4	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0
5	2025/11/01 15:05:30	2025/11/01 15:14:45	555	1	23	1	1	107	240	38	90	33	1	0	0	1	1	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2025/11/06 16:23:21	2025/11/06 16:34:17	656	1	21	1	1	107	240	38	90	33	0	0	0	1	1	0	0	0	4	4	0	0	0	4	3	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1
7	2025/11/06 22:45:33	2025/11/06 22:57:24	711	1	24	1	1	107	240	38	90	33	1	0	0	1	1	3	0	0	2	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
8	2025/11/01 13:01:10	2025/11/01 13:07:08	358	1	27	1	1	107	240	38	90	33	0	1	1	0	1	0	2	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
9	2025/11/06 06:27:23	2025/11/06 06:40:34	791	1	28	1	1	107	240	38	90	33	0	0	1	1	1	0	0	3	5	3	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10	2025/11/05 14:32:18	2025/11/05 14:41:20	542	1	29	1	1	107	240	38	90	33	1	1	1	1	1	4	4	2	5	4	2	4	0	5	3	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1
11	2025/11/03 19:12:13	2025/11/03 19:20:22	489	1	33	2	1	107	240	38	90	33	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2025/11/02 02:40:26	2025/11/02 02:52:13	707	1	32	2	1	107	240	38	90	33	1	1	1	1	1	3	1	5	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13	2025/11/06 02:15:25	2025/11/06 02:28:18	773	1	38	2	1	107	240	38	90	33	1	1	1	0	1	4	1	5	0	4	4	0	4	0	5	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1
14	2025/11/05 19:59:19	2025/11/05 20:12:38	799	1	38	2	1	107	240	38	90	33	0	0	1	1	1	0	0	4	2	5	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1
15	2025/11/03 08:40:27	2025/11/03 08:48:03	456	1	30	2	1	107	240	38	90	33	1	1	0	1	0	2	4	0	1	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
